,passengers,distance,fare,tip,tolls,total,predicted,probability cash %,calibration isoreg probability cash %
4092,0,1.3,9.0,2.66,0.0,15.96,0,0.0,0.0
6282,1,1.4,8.5,0.0,0.0,9.8,1,99.99,88.89
3237,2,2.39,14.0,0.0,0.0,17.8,1,99.98,81.58
1891,1,1.9,10.5,2.85,0.0,17.15,0,0.0,0.0
5010,1,2.4,11.5,1.7,0.0,17.0,0,0.0,0.0
2168,1,4.33,25.5,7.2,0.0,36.0,0,0.0,0.0
5154,1,0.84,5.5,1.76,0.0,10.56,0,0.0,0.0
5202,1,2.8,17.5,4.15,0.0,24.95,0,0.0,0.0
247,1,2.75,13.0,3.46,0.0,20.76,0,0.0,0.0
198,1,0.2,3.0,0.0,0.0,7.3,1,99.99,89.55
2977,1,1.3,5.5,0.0,0.0,8.8,1,99.99,89.19
5170,1,0.8,5.0,2.05,0.0,10.35,0,0.0,0.0
239,2,1.0,7.5,2.15,0.0,12.95,0,0.0,0.0
764,1,0.67,4.5,1.0,0.0,9.8,0,0.0,0.0
2087,1,0.9,5.0,0.0,0.0,8.3,1,99.99,89.19
503,2,1.49,7.5,2.26,0.0,13.56,0,0.0,0.0
2020,1,1.0,7.5,0.0,0.0,11.3,1,99.99,88.89
2042,1,1.36,8.5,0.0,0.0,11.8,1,99.99,83.06
3922,1,1.01,7.5,1.7,0.0,13.0,0,0.0,0.0
2414,1,1.4,7.5,3.2,0.0,14.0,0,0.0,0.0
2170,1,4.27,17.5,4.16,0.0,24.96,0,0.0,0.0
1559,6,2.1,9.5,1.0,0.0,13.8,0,0.0,0.0
3870,1,0.99,8.0,0.0,0.0,11.8,1,99.99,83.06
2163,1,1.5,8.5,2.45,0.0,14.75,0,0.0,0.0
5608,1,1.1,6.0,0.39,0.0,8.19,0,0.0,0.0
5805,1,1.71,8.0,0.0,0.0,9.3,1,99.99,89.19
5322,2,1.02,6.5,0.0,0.0,9.8,1,99.99,89.19
1883,1,4.2,23.0,5.25,0.0,31.55,0,0.0,0.0
3755,1,1.3,8.0,2.25,0.0,13.55,0,0.0,0.0
3941,1,1.58,9.0,0.0,0.0,12.3,1,99.99,83.06
2609,1,0.3,3.5,1.55,0.0,9.35,0,0.0,0.0
6038,2,1.1,6.5,2.45,0.0,10.75,0,0.0,0.0
1242,1,0.67,5.5,0.0,0.0,9.8,1,99.99,89.19
4614,2,9.49,34.0,7.46,0.0,44.76,0,0.0,0.0
3268,5,1.99,15.0,0.0,0.0,18.3,1,99.98,70.37
2417,1,3.2,11.5,0.0,0.0,15.8,1,99.98,81.58
3003,1,0.8,5.0,1.65,0.0,9.95,0,0.0,0.0
625,1,4.3,17.0,3.0,0.0,23.8,0,0.0,0.0
3116,5,0.63,4.5,1.56,0.0,9.36,0,0.0,0.0
1615,1,2.08,9.0,2.56,0.0,15.36,0,0.0,0.0
4680,2,7.38,23.5,0.0,0.0,27.3,1,99.96,62.5
496,1,1.56,8.0,1.7,0.0,13.0,0,0.0,0.0
747,1,1.5,8.5,2.35,0.0,14.15,0,0.0,0.0
4930,1,1.86,8.5,2.95,0.0,14.75,0,0.0,0.0
3782,1,2.6,12.5,3.36,0.0,20.16,0,0.0,0.0
1046,2,17.8,52.0,12.21,5.76,73.27,0,0.0,0.0
31,3,0.74,4.0,0.0,0.0,7.8,1,99.99,89.55
4332,3,0.7,5.0,0.0,0.0,5.8,1,99.99,89.55
156,1,0.9,9.5,2.0,0.0,15.8,0,0.0,0.0
2287,1,0.9,8.0,2.25,0.0,13.55,0,0.0,0.0
230,2,0.66,7.0,1.94,0.0,12.74,0,0.0,0.0
2788,1,0.2,3.5,0.0,0.0,4.8,1,99.99,89.55
622,3,0.0,120.0,33.2,12.5,166.0,0,0.0,0.0
6240,1,12.79,37.5,0.0,5.76,44.06,1,96.46,38.46
3298,1,5.8,18.0,4.35,0.0,26.15,0,0.0,0.0
534,1,4.4,24.5,2.5,0.0,30.3,0,0.0,0.0
5639,1,1.19,10.0,3.24,0.0,14.04,0,0.0,0.0
233,1,1.09,6.0,1.96,0.0,11.76,0,0.0,0.0
800,1,1.36,9.0,1.5,0.0,13.8,0,0.0,0.0
2389,1,2.1,9.5,2.66,0.0,15.96,0,0.0,0.0
80,1,1.47,9.5,0.0,0.0,13.3,1,99.99,83.06
3630,0,1.2,8.5,2.95,0.0,14.75,0,0.0,0.0
263,1,0.85,6.0,1.96,0.0,11.76,0,0.0,0.0
3938,1,1.3,8.0,0.0,0.0,11.3,1,99.99,83.06
5577,1,1.83,9.5,0.0,0.0,10.3,1,99.99,83.06
6223,1,3.82,17.0,4.45,0.0,22.25,0,0.0,0.0
4685,1,12.7,36.5,7.56,0.0,45.36,0,0.0,0.0
5242,1,2.7,15.0,3.65,0.0,21.95,0,0.0,0.0
805,1,0.47,4.0,0.0,0.0,8.3,1,99.99,89.55
5224,6,0.97,7.5,2.16,0.0,12.96,0,0.0,0.0
2275,1,1.79,12.5,3.16,0.0,18.96,0,0.0,0.0
6059,1,1.02,6.0,0.0,0.0,7.3,1,99.99,89.19
23,5,1.09,8.5,2.36,0.0,14.16,0,0.0,0.0
3989,1,1.82,12.0,0.0,0.0,15.3,1,99.99,83.06
4235,2,3.0,11.5,3.05,0.0,18.35,0,0.0,0.0
3153,1,0.56,4.0,0.0,0.0,7.8,1,99.99,89.55
472,5,0.58,4.0,2.34,0.0,10.14,0,0.0,0.0
1197,1,0.6,5.0,1.75,0.0,10.55,0,0.0,0.0
1876,1,0.88,5.5,1.86,0.0,11.16,0,0.0,0.0
393,5,18.94,52.0,12.21,5.76,73.27,0,0.0,0.0
3491,4,1.08,9.0,2.46,0.0,14.76,0,0.0,0.0
2654,1,1.56,8.5,2.36,0.0,14.16,0,0.0,0.0
1760,2,0.55,4.5,1.56,0.0,11.31,0,0.0,0.0
1005,1,0.61,4.5,0.0,0.0,8.3,1,99.99,89.19
2687,0,0.4,3.5,0.68,0.0,7.48,0,0.0,0.0
5810,1,1.5,8.0,0.0,0.0,8.8,1,99.99,89.19
2960,1,5.21,17.0,6.24,0.0,27.04,0,0.0,0.0
1253,1,1.8,8.0,0.0,0.0,11.3,1,99.99,83.06
696,1,1.94,13.0,4.08,0.0,20.38,0,0.0,0.0
4563,1,6.36,21.5,0.0,0.0,25.3,1,99.97,67.65
5455,1,0.61,4.0,0.0,0.0,5.8,1,99.99,89.55
3012,1,2.6,11.5,2.7,0.0,18.0,0,0.0,0.0
2057,1,0.91,9.0,2.46,0.0,14.76,0,0.0,0.0
96,1,3.21,13.5,0.0,0.0,17.8,1,99.98,81.58
1225,3,1.99,8.5,0.0,0.0,12.3,1,99.99,83.06
3692,1,4.42,15.66,0.0,0.0,16.46,1,99.98,70.37
4607,1,0.76,6.5,0.0,0.0,10.3,1,99.99,89.19
3142,4,1.74,8.0,1.0,0.0,12.8,0,0.0,0.0
4810,1,2.23,10.5,2.76,0.0,16.56,0,0.0,0.0
4104,1,0.8,7.0,2.06,0.0,12.36,0,0.0,0.0
5060,1,0.58,5.0,0.0,0.0,8.3,1,99.99,89.19
5097,5,2.06,15.0,3.66,0.0,21.96,0,0.0,0.0
132,1,0.6,4.0,0.0,0.0,7.3,1,99.99,89.55
1740,1,12.5,41.0,8.35,0.0,50.15,0,0.0,0.0
346,1,2.23,9.5,3.45,0.0,17.25,0,0.0,0.0
4648,1,10.41,34.0,8.31,5.76,49.87,0,0.0,0.0
5206,2,4.5,17.5,4.25,0.0,25.55,0,0.0,0.0
5925,1,0.16,10.0,2.16,0.0,12.96,0,0.0,0.0
1872,1,1.43,8.0,2.36,0.0,14.16,0,0.0,0.0
3668,1,1.63,11.5,0.0,0.0,14.8,1,99.99,83.06
2934,1,2.2,10.0,1.0,0.0,14.8,0,0.0,0.0
6209,1,7.85,32.5,0.0,0.0,33.3,1,99.94,41.67
4596,1,0.8,5.5,1.75,0.0,10.55,0,0.0,0.0
3616,1,1.2,7.0,0.0,0.0,10.3,1,99.99,89.19
3540,1,0.6,4.0,1.65,0.0,9.95,0,0.0,0.0
4296,1,3.76,14.0,0.0,0.0,17.8,1,99.98,70.37
4463,2,3.84,17.5,2.13,0.0,23.43,0,0.0,0.0
4486,1,2.98,14.0,3.46,0.0,20.76,0,0.0,0.0
4436,1,0.95,7.5,0.0,0.0,10.8,1,99.99,89.19
1161,6,2.13,11.5,2.0,0.0,17.8,0,0.0,0.0
2063,1,1.5,11.5,2.95,0.0,17.75,0,0.0,0.0
3127,1,4.23,14.0,0.0,0.0,15.3,1,99.98,81.58
4302,2,2.77,13.0,4.33,0.0,21.63,0,0.0,0.0
1038,1,0.81,7.5,2.16,0.0,12.96,0,0.0,0.0
2077,1,1.0,5.5,1.95,0.0,11.75,0,0.0,0.0
2157,5,4.38,21.0,4.0,0.0,28.8,0,0.0,0.0
3659,2,1.12,6.5,1.96,0.0,11.76,0,0.0,0.0
3838,1,0.94,7.5,2.16,0.0,12.96,0,0.0,0.0
3323,1,1.7,10.5,2.75,0.0,16.55,0,0.0,0.0
208,1,0.4,4.5,0.0,0.0,8.8,1,99.99,89.19
3624,1,1.11,9.0,2.0,0.0,14.3,0,0.0,0.0
6050,1,0.6,5.5,0.0,0.0,6.3,1,99.99,89.55
3733,1,0.9,5.0,1.65,0.0,9.95,0,0.0,0.0
4726,2,1.2,6.5,2.15,0.0,12.95,0,0.0,0.0
2576,1,1.09,9.0,2.56,0.0,15.36,0,0.0,0.0
3285,1,3.8,17.0,0.0,0.0,21.3,1,99.98,70.37
2107,1,2.7,13.0,0.0,0.0,17.3,1,99.98,81.58
2775,2,1.46,7.5,2.26,0.0,13.56,0,0.0,0.0
4605,6,1.84,8.0,2.82,0.0,14.12,0,0.0,0.0
2821,5,3.3,16.5,0.0,0.0,19.8,1,99.98,70.37
1569,1,1.1,9.5,3.8,0.0,16.6,0,0.0,0.0
3211,2,2.2,10.0,2.66,0.0,15.96,0,0.0,0.0
2333,1,2.4,13.5,3.35,0.0,20.15,0,0.0,0.0
351,1,2.8,12.5,3.25,0.0,19.55,0,0.0,0.0
5506,2,1.25,6.5,0.0,0.0,10.05,1,99.99,89.19
3218,1,2.48,10.0,2.0,0.0,15.8,0,0.0,0.0
5900,3,1.2,6.0,0.0,0.0,7.3,1,99.99,89.55
2794,1,1.03,9.5,1.28,0.0,14.08,0,0.0,0.0
1084,1,2.15,16.0,4.06,0.0,24.36,0,0.0,0.0
2481,1,2.67,15.5,3.76,0.0,22.56,0,0.0,0.0
3557,1,2.4,8.5,2.46,0.0,14.76,0,0.0,0.0
465,5,2.03,9.5,0.0,0.0,13.8,1,99.99,83.06
4958,1,1.05,6.5,2.16,0.0,12.96,0,0.0,0.0
2905,1,24.57,78.0,0.0,5.76,85.56,0,0.93,33.33
3101,3,0.4,4.0,1.11,0.0,6.91,0,0.0,0.0
1593,1,1.6,8.0,2.45,0.0,14.75,0,0.0,0.0
1467,1,16.01,52.0,12.21,5.76,73.27,0,0.0,0.0
1315,2,2.4,11.5,3.05,0.0,18.35,0,0.0,0.0
1611,1,1.12,7.5,2.26,0.0,13.56,0,0.0,0.0
3518,1,0.53,4.5,2.2,0.0,11.0,0,0.0,0.0
5594,1,6.29,21.4,0.0,0.0,21.9,1,99.97,67.65
2072,1,0.5,5.5,1.0,0.0,10.8,0,0.0,0.0
5790,1,2.7,11.0,0.0,0.0,12.3,1,99.99,83.06
3545,1,2.06,10.0,0.0,0.0,13.3,1,99.99,83.06
5638,1,0.0,10.0,0.0,0.0,10.0,1,99.99,88.89
5471,1,2.9,16.0,0.0,0.0,17.8,1,99.98,70.37
2596,1,1.29,9.5,1.56,0.0,14.36,0,0.0,0.0
3484,2,1.43,9.5,0.0,0.0,12.8,1,99.99,83.06
3193,1,2.9,16.5,2.97,0.0,22.77,0,0.0,0.0
2916,3,10.51,33.5,0.0,0.0,37.3,1,99.88,38.46
4382,1,2.0,12.0,3.25,0.0,19.55,0,0.0,0.0
1261,1,9.6,29.5,7.0,5.76,46.06,0,0.0,0.0
1042,1,7.89,23.5,3.0,0.0,30.3,0,0.0,0.0
2453,1,0.53,3.5,0.0,0.0,7.3,1,99.99,89.55
5702,1,14.47,46.5,0.0,5.76,53.06,1,89.7,38.46
5494,1,1.36,8.0,0.0,0.0,8.8,1,99.99,89.19
3295,1,3.22,18.0,0.0,0.0,21.3,1,99.98,70.37
3194,1,2.0,9.5,3.3,0.0,16.6,0,0.0,0.0
5082,1,1.8,11.0,3.05,0.0,18.35,0,0.0,0.0
561,1,1.48,7.0,2.06,0.0,12.36,0,0.0,0.0
2715,1,1.8,9.0,2.56,0.0,15.36,0,0.0,0.0
1608,2,11.8,38.5,0.0,0.0,39.3,1,99.82,38.46
4990,3,8.0,24.0,0.0,0.0,25.8,1,99.96,62.5
2233,1,2.6,12.0,3.25,0.0,19.55,0,0.0,0.0
4789,2,1.21,9.0,2.0,0.0,15.3,0,0.0,0.0
4630,3,1.86,10.0,2.76,0.0,16.56,0,0.0,0.0
4676,1,8.64,30.5,0.0,5.76,37.06,1,98.94,38.46
1805,1,0.8,5.5,0.0,0.0,9.3,1,99.99,89.19
2516,2,0.62,5.5,0.0,0.0,8.8,1,99.99,89.19
2406,5,8.58,26.5,0.0,0.0,27.3,1,99.95,41.67
535,1,0.78,5.5,0.0,0.0,8.8,1,99.99,89.19
2227,4,8.4,33.0,8.4,5.76,50.46,0,0.0,0.0
5062,1,0.8,6.0,1.95,0.0,11.75,0,0.0,0.0
5519,1,1.33,8.5,2.06,0.0,12.36,0,0.0,0.0
1149,1,10.02,30.5,6.46,0.0,38.76,0,0.0,0.0
3961,1,2.93,12.5,3.36,0.0,20.16,0,0.0,0.0
4335,1,2.0,11.5,1.5,0.0,17.3,0,0.0,0.0
2764,2,1.04,7.5,2.26,0.0,13.56,0,0.0,0.0
6036,1,8.44,22.43,0.0,0.0,22.93,1,99.96,62.5
5036,1,1.3,12.5,0.0,0.0,15.8,1,99.98,83.06
1362,1,2.47,12.0,3.06,0.0,18.36,0,0.0,0.0
957,5,1.11,7.0,3.24,0.0,14.04,0,0.0,0.0
3896,1,2.96,12.5,3.26,0.0,19.56,0,0.0,0.0
5272,2,2.51,11.5,3.16,0.0,18.96,0,0.0,0.0
1268,1,1.11,6.5,2.58,0.0,12.88,0,0.0,0.0
828,6,7.88,26.0,7.45,0.0,37.25,0,0.0,0.0
5728,1,21.27,65.59,0.0,11.52,77.61,0,0.01,0.0
5952,1,0.9,5.5,0.0,0.0,7.3,1,99.99,89.19
217,6,1.16,6.0,0.0,0.0,9.8,1,99.99,83.06
2996,1,1.2,9.5,0.0,0.0,10.3,1,99.99,88.89
5844,1,10.83,33.01,0.0,0.0,33.51,1,99.9,38.46
2522,2,1.44,8.0,2.36,0.0,14.16,0,0.0,0.0
5785,2,0.81,7.5,2.79,0.0,14.04,0,0.0,0.0
296,1,0.9,11.0,2.85,0.0,17.15,0,0.0,0.0
2795,1,1.7,10.0,2.75,0.0,16.55,0,0.0,0.0
2104,1,1.4,6.5,1.47,0.0,11.27,0,0.0,0.0
712,1,0.8,5.0,1.75,0.0,10.55,0,0.0,0.0
2572,1,17.56,52.0,12.21,5.76,73.27,0,0.0,0.0
3574,1,0.7,5.0,1.75,0.0,10.55,0,0.0,0.0
88,1,0.07,2.5,0.0,0.0,3.8,1,99.99,89.55
4427,1,1.83,8.5,0.0,0.0,11.8,1,99.99,83.06
5409,1,3.4,13.0,0.0,0.0,16.8,1,99.98,81.58
2970,2,1.1,7.5,3.0,0.0,13.8,0,0.0,0.0
3787,1,1.55,9.5,0.0,0.0,13.8,1,99.99,83.06
381,1,3.66,15.0,3.66,0.0,21.96,0,0.0,0.0
469,2,3.3,13.0,5.0,0.0,21.8,0,0.0,0.0
324,1,1.9,10.0,0.0,0.0,13.8,1,99.99,83.06
1310,2,0.85,5.5,0.0,0.0,9.3,1,99.99,89.19
3527,1,4.1,16.5,1.98,0.0,21.78,0,0.0,0.0
611,1,4.7,22.5,0.0,0.0,26.3,1,99.97,67.65
3254,1,1.63,11.5,1.5,0.0,16.3,0,0.0,0.0
2948,2,0.83,5.0,1.66,0.0,9.96,0,0.0,0.0
5774,1,10.24,38.28,0.0,5.76,44.54,1,97.64,38.46
3967,1,1.5,7.0,0.0,0.0,10.3,1,99.99,89.19
1730,1,2.17,12.0,1.0,0.0,17.3,0,0.0,0.0
5297,2,1.47,8.0,2.46,0.0,14.76,0,0.0,0.0
3362,1,0.6,5.0,1.65,0.0,9.95,0,0.0,0.0
4230,1,1.8,9.5,0.0,0.0,12.8,1,99.99,83.06
2759,1,2.5,11.0,0.0,0.0,14.8,1,99.99,83.06
4405,1,3.06,15.0,4.7,0.0,23.5,0,0.0,0.0
730,2,4.4,16.5,4.06,0.0,24.36,0,0.0,0.0
5369,1,0.5,5.0,2.6,0.0,11.4,0,0.0,0.0
4160,2,2.04,11.0,3.58,0.0,17.88,0,0.0,0.0
491,1,1.6,2.5,0.0,0.0,5.8,1,99.99,89.55
37,1,3.13,20.5,0.0,0.0,24.8,1,99.98,67.65
5609,1,2.89,11.5,0.0,0.0,12.3,1,99.99,83.06
3245,2,1.46,8.5,0.0,0.0,12.8,1,99.99,83.06
3355,1,0.7,4.0,0.0,0.0,7.8,1,99.99,89.55
5922,1,0.89,6.0,2.34,0.0,10.14,0,0.0,0.0
683,1,6.03,19.0,4.46,0.0,26.76,0,0.0,0.0
6145,1,1.68,7.5,1.76,0.0,10.56,0,0.0,0.0
1244,2,1.3,10.0,2.85,0.0,17.15,0,0.0,0.0
3824,2,1.48,7.0,2.26,0.0,13.56,0,0.0,0.0
4207,3,2.05,11.5,2.5,0.0,17.3,0,0.0,0.0
4458,2,1.0,7.0,0.0,0.0,10.3,1,99.99,89.19
6415,1,0.89,5.0,0.0,0.0,5.8,1,99.99,89.55
486,4,1.11,7.0,2.16,0.0,12.96,0,0.0,0.0
1488,1,1.0,6.5,1.0,0.0,11.3,0,0.0,0.0
511,1,6.5,21.5,2.0,0.0,27.3,0,0.0,0.0
1108,1,13.4,52.0,11.7,5.76,70.26,0,0.0,0.0
5626,1,1.28,6.5,0.0,0.0,7.8,1,99.99,89.19
5020,5,1.09,6.5,2.16,0.0,12.96,0,0.0,0.0
4366,1,1.0,7.5,2.35,0.0,14.15,0,0.0,0.0
2617,1,2.01,9.0,2.46,0.0,14.76,0,0.0,0.0
5825,1,4.97,19.0,5.2,0.0,26.0,0,0.0,0.0
1954,1,1.3,10.0,2.65,0.0,15.95,0,0.0,0.0
4190,1,0.8,5.5,0.0,0.0,8.8,1,99.99,89.19
3881,1,0.87,6.0,2.06,0.0,12.36,0,0.0,0.0
544,2,0.7,11.5,2.95,0.0,17.75,0,0.0,0.0
3204,1,0.76,8.0,2.26,0.0,13.56,0,0.0,0.0
1199,1,2.16,10.0,2.66,0.0,15.96,0,0.0,0.0
2622,1,0.9,7.0,1.7,0.0,13.0,0,0.0,0.0
2091,1,3.3,12.5,3.0,0.0,18.8,0,0.0,0.0
1339,1,0.89,5.5,0.0,0.0,9.3,1,99.99,89.19
4902,1,0.8,5.5,1.95,0.0,11.75,0,0.0,0.0
2464,1,12.0,34.0,8.0,0.0,43.3,0,0.0,0.0
2892,1,0.5,4.5,1.55,0.0,9.35,0,0.0,0.0
1650,1,4.33,20.5,4.76,0.0,28.56,0,0.0,0.0
157,5,10.18,29.5,0.06,5.76,38.62,0,0.0,0.0
960,1,1.42,8.0,2.26,0.0,13.56,0,0.0,0.0
2906,6,0.87,6.0,0.0,0.0,9.3,1,99.99,83.06
763,2,1.9,13.0,0.0,0.0,16.3,1,99.98,83.06
1773,1,1.9,8.5,0.0,0.0,12.3,1,99.99,83.06
2531,1,3.8,16.5,4.05,0.0,24.35,0,0.0,0.0
6348,1,1.8,9.5,0.0,0.0,10.3,1,99.99,83.06
1964,1,0.35,3.5,0.68,0.0,7.48,0,0.0,0.0
4511,1,1.0,7.0,1.56,0.0,9.36,0,0.0,0.0
1662,1,2.86,12.5,3.16,0.0,18.96,0,0.0,0.0
926,1,1.83,12.0,3.06,0.0,18.36,0,0.0,0.0
5335,1,2.3,10.5,2.86,0.0,17.16,0,0.0,0.0
2949,1,15.58,52.0,11.06,0.0,66.36,0,0.0,0.0
4237,6,6.29,21.0,4.96,0.0,29.76,0,0.0,0.0
4852,5,2.61,15.5,3.86,0.0,23.16,0,0.0,0.0
5674,1,2.01,9.0,0.0,0.0,9.8,1,99.99,83.06
4603,6,0.82,4.5,0.0,0.0,8.3,1,99.99,83.06
4906,1,7.1,25.5,4.32,0.0,33.12,0,0.0,0.0
468,1,4.0,16.5,4.15,0.0,24.95,0,0.0,0.0
79,1,1.3,7.5,2.25,0.0,13.55,0,0.0,0.0
167,1,0.6,5.5,0.0,0.0,8.8,1,99.99,89.19
5281,1,2.8,12.0,3.15,0.0,18.95,0,0.0,0.0
4767,1,4.4,17.5,4.15,0.0,24.95,0,0.0,0.0
2857,1,1.6,8.0,2.12,0.0,13.92,0,0.0,0.0
4860,1,0.5,4.0,0.0,0.0,7.3,1,99.99,89.55
1328,1,1.39,7.5,1.66,0.0,9.96,0,0.0,0.0
5302,3,2.66,15.5,3.76,0.0,22.56,0,0.0,0.0
4984,1,0.5,4.5,1.2,0.0,10.0,0,0.0,0.0
2670,6,1.08,6.0,1.86,0.0,11.16,0,0.0,0.0
4553,1,8.76,31.0,10.29,0.0,44.59,0,0.0,0.0
2707,1,1.81,10.5,4.14,0.0,17.94,0,0.0,0.0
6090,1,2.42,12.0,0.0,0.0,12.8,1,99.99,83.06
5243,1,17.51,52.0,0.0,0.0,55.3,1,97.55,38.46
1480,1,3.0,17.0,5.05,0.0,25.35,0,0.0,0.0
3780,1,1.4,7.5,0.0,0.0,11.3,1,99.99,88.89
5782,1,8.28,23.5,4.94,5.76,35.0,0,0.0,0.0
4686,1,0.96,6.5,0.0,0.0,10.3,1,99.99,89.19
50,2,1.0,11.5,0.0,0.0,14.8,1,99.99,83.06
4291,1,17.8,52.0,8.0,0.0,63.3,0,0.0,0.0
2640,1,7.03,21.5,6.11,5.76,36.67,0,0.0,0.0
2623,1,0.6,5.0,1.65,0.0,9.95,0,0.0,0.0
